id_distrito,nombre_distrito,count
1.0,Ciutat Vella,320
2.0,l'Eixample,328
3.0,Extramurs,271
4.0,Campanar,289
5.0,la Saïdia,269
6.0,el Pla del Real,288
7.0,l'Olivereta,259
8.0,Patraix,165
9.0,Jesús,89
10.0,Quatre Carreres,425
11.0,Poblats Marítims,399
12.0,Camins al Grau,229
13.0,Algirós,204
14.0,Benimaclet,226
15.0,Rascanya,298
16.0,Benicalap,134
17.0,Pobles del Nord,7
18.0,Pobles de l'Oest,23
19.0,Pobles del Sud,71
