id_distrito,nombre_distrito,count
1,Ciutat Vella,5
2,l'Eixample,4
3,Extramurs,1
5,la Saïdia,1
6,el Pla del Real,2
7,l'Olivereta,2
10,Quatre Carreres,3
11,Poblats Marítims,2
13,Algirós,1
14,Benimaclet,1
18,Pobles de l'Oest,1
