id_distrito,nombre_distrito,count
1.0,Ciutat Vella,12
3.0,Extramurs,1
4.0,Campanar,1
5.0,la Saïdia,7
8.0,Patraix,3
9.0,Jesús,3
10.0,Quatre Carreres,3
11.0,Poblats Marítims,5
12.0,Camins al Grau,2
13.0,Algirós,2
14.0,Benimaclet,3
15.0,Rascanya,2
16.0,Benicalap,2
