id_distrito,nombre_distrito,count
1.0,Ciutat Vella,19
2.0,l'Eixample,8
3.0,Extramurs,9
4.0,Campanar,7
5.0,la Saïdia,6
6.0,el Pla del Real,5
7.0,l'Olivereta,10
8.0,Patraix,9
9.0,Jesús,9
10.0,Quatre Carreres,9
11.0,Poblats Marítims,12
12.0,Camins al Grau,6
13.0,Algirós,6
14.0,Benimaclet,2
15.0,Rascanya,6
16.0,Benicalap,7
17.0,Pobles del Nord,5
18.0,Pobles de l'Oest,3
19.0,Pobles del Sud,8
