id,Edicion,Id_Propuesta,Titulo,Codigo_Ambito_Referencia,Ambito_Referencia,Tipo_Proponente,Numero_Apoyos,Pasa_Fase_Apoyos,Pasa_Fase_Viabilidad,Numero_Votos,Seleccionada,Presupuesto_euros,Mision_Climatica,Fecha creacion,Fecha_Baja,id_distrito,nombre_distrito,match_status
5518,7,6580,ROTONDA ENTRADA POR VALENCIA A BENIMaMET,18,1,Particular,40.0,SI,SI,184.0,SI,50000.0,Con etiqueta,2023-04-27,,18,Pobles de l'Oest,matched
5545,7,6607,HABILITAR DESCAMPADO ZONA VERDE Y PARQUE,5,la Saidia,Particular,32.0,SI,SI,405.0,SI,35800.0,Con etiqueta,2023-04-27,,5,la Saïdia,matched
5656,7,6718,Creacion oficina de informacion al desarrollador de videojuegos en Las Naves,11,Poblats Maritims,Particular,34.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,11,Poblats Marítims,matched
5670,7,6732,PARQUE MULTIAVENTURA JUNTO A ELISEO VIDAL,8,Patraix,Particular,40.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,8,Patraix,matched
5711,7,6773,Plan verde del distrito de Poblats Maritims,11,Poblats Maritims,Particular,23.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,11,Poblats Marítims,matched
5718,7,6780,c\ santa cruz de tenerife con av. del cid,7,l'Olivereta,Particular,31.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,7,l'Olivereta,matched
5767,7,6829,No dejar a nadie atras,3,Extramurs,Particular,7.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,3,Extramurs,matched
5790,7,6852,Estudio de mejora de la accesibilidad en Benifaraig,17,1,Ayuntamiento,0.0,SI,SI,32.0,SI,18000.0,Sin etiqueta,2023-04-27,,17,Pobles del Nord,matched
1888,4,2117,PISTA DE BaSQUET COBERTA,9,Jesus,Particular,106.0,SI,SI,289.0,SI,120000.0,No aplicable,2023-04-27,,9,Jesús,matched
1897,4,2126,ACONDICIONAMIENTO DEL PARQUE ESCRIPTOR JOSe MARTI,19,1,Particular,35.0,SI,SI,12.0,NO,22453.0,No aplicable,2023-04-27,,19,Pobles del Sud,matched
1915,4,2144,ASFALTAR LA C/CREUETA ALTA,19,1,Representante GT,0.0,SI,SI,2.0,NO,17800.0,No aplicable,2023-04-27,,19,Pobles del Sud,matched
1927,4,2156,JARDINES EN REPuBLICA COSTA D'IBORI (JARDINES C/ COSTA DE MARFIL),9,Jesus,Representante GT,0.0,SI,SI,244.0,SI,160000.0,No aplicable,2023-04-27,,9,Jesús,matched
1974,4,2203,REFUGIO PARA GATOS ABANDONADOS,16,Benicalap,Particular,201.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,16,Benicalap,matched
